author,title,description,publishedAt,content
Kris Holt,Apple TV+ prices have doubled in just over a year,"Apple is jacking up the prices of several of its subscription services. The price increases to Apple TV+, Apple Arcade and Apple News+ will take effect immediately for newcomers. It's not yet clear when existing subscribers will start paying the higher rates.…",2023-10-25T15:01:56Z,"Apple is jacking up the prices of several of its subscription services. The price increases to Apple TV+, Apple Arcade and Apple News+ will take effect immediately for newcomers. It's not yet clear w… [+1966 chars]"
Emma Roth,"Apple TV Plus is getting a price hike — and other Apple subscriptions are, too","Apple is increasing the price on Apple Arcade, Apple News Plus, and the Apple One bundle. Apple TV Plus is going from $6.99 per month to $9.99 per month.",2023-10-25T14:04:41Z,"Apple TV Plus is getting a price hike and other Apple subscriptions are, too
Apple TV Plus is getting a price hike and other Apple subscriptions are, too
 / Apple Arcade, Apple News Plus, and the A… [+1329 chars]"
Khamosh Pathak,All the New Ways to Use Your Apple Watch,"With watchOS 10, Apple breathed new life into the Apple Watch, without even changing the hardware design. Now, watchOS finally embraces buttons, and higher information density across the board. Most importantly, in my view, are widgets, which have the potenti…",2023-11-02T13:30:00Z,"With watchOS 10, Apple breathed new life into the Apple Watch, without even changing the hardware design. Now, watchOS finally embraces buttons, and higher information density across the board. Most … [+4059 chars]"
Simon Hill,Apple HomeKit Secure Video: Pros and Cons,"Shopping for a security camera or video doorbell? Before you go all-in on Apple’s framework, there are some things to consider.",2023-11-08T11:02:55Z,"If you're shopping for indoor or outdoor security cameras, video doorbells, or a mix of all three to cover your property, finding a system you can trust is tougher than it should be. Between security… [+2788 chars]"
Jennifer Pattison Tuohy,How to connect a Nest Thermostat to Apple Home through Matter,The Nest Thermostat now works with Apple Home thanks to Matter. Follow this guide to set up and control Google’s smart thermostat in the Apple Home app.,2023-10-30T15:30:39Z,"How to connect a Nest Thermostat to Apple Home through Matter
How to connect a Nest Thermostat to Apple Home through Matter
 / Googles smart thermostat can finally work directly with Apple Home usi… [+3999 chars]"
Jessica Kanzler,This 6th-Gen iPad Is $150 Right Now,"This Apple iPad 6th-generation is on sale for $149 right now (reg. $250). It comes with a grade “B” refurbished rating, so there might be light scuffs or scratches on the body, but none on the screen. It has a 9.7-inch Retina display with 2048x1536 resolution…",2023-11-10T13:00:00Z,"This Apple iPad 6th-generation is on sale for $149 right now (reg. $250). It comes with a grade B refurbished rating, so there might be light scuffs or scratches on the body, but none on the screen. … [+391 chars]"
Kris Holt,Apple HomePods now have native YouTube Music support,"The Venn diagram of HomePod
 owners and YouTube Music
 subscribers probably doesn't have a lot of overlap. However, those who use both Apple's speakers and Google's music streaming service may be pleased to learn that the two now play more nicely together. …",2023-10-23T18:04:28Z,"The Venn diagram of HomePod
 owners and YouTube Music
 subscribers probably doesn't have a lot of overlap. However, those who use both Apple's speakers and Google's music streaming service may be p… [+1487 chars]"
Will Shanklin,Apple reportedly plans to totally redesign its TV app,"Apple is reportedly set to overhaul the Apple TV app. On Tuesday, Bloomberg’s Mark Gurman reported that the company plans to consolidate its video offerings, placing them exclusively in the TV app on all its devices. Citing “people with knowledge of the matte…",2023-10-24T19:45:06Z,"Apple is reportedly set to overhaul the Apple TV app. On Tuesday, Bloombergs Mark Gurman reported that the company plans to consolidate its video offerings, placing them exclusively in the TV app on … [+1764 chars]"
Emma Roth,Apple reportedly cut a deal to get cleaner Amazon pages,"Apple and Amazon have a deal that prevents ads from appearing on product pages and search results for new Apple products, like the latest iPhone, MacBook, or iPad, according to Insider.",2023-11-10T22:42:03Z,"Apple reportedly cut a deal to get cleaner Amazon pages
Apple reportedly cut a deal to get cleaner Amazon pages
 / Apple makes Amazon limit ads from competing brands on Apple product pages and sear… [+2698 chars]"
Steve Dent,Apple Watch battery drain issues to be fixed in upcoming watchOS update,"Last week, a number of Apple Watch owners noticed that their batteries were draining much quicker than normal after they installed the latest watchOS version 10.1. Now, Apple has acknowledged the issue in an internal memo seen by MacRumors, and promised that …",2023-11-06T09:05:54Z,"Last week, a number of Apple Watch owners noticed that their batteries were draining much quicker than normal after they installed the latest watchOS version 10.1. Now, Apple has acknowledged the iss… [+1162 chars]"
